Lp.,Miasto,Odl od morza,Odl od centrum miasta,Odl od centrum handl.,Odl od glownej arterii,Liczba pokoi,Liczba łazienek,Powierzchnia,Piętro,Ilosc pieter,Cena za m2,Cena brutto
1,Gdańsk,0.98,6.6,1.28,2.18,4,2,89.7,7,7,17725.00,1589944.00
2,Gdańsk,0.98,6.62,1.28,2.18,4,2,99.8,2,7,14854.00,1482406.00
3,Gdańsk,0.98,6.64,1.28,2.18,4,2,99.8,4,7,15262.00,1523161.00
4,Gdańsk,0.98,6.66,1.28,2.18,2,1,55.7,0,7,16311.00,908507.00
5,Gdańsk,0.98,6.68,1.28,2.18,4,2,103.8,0,17,13876.00,1440336.00
6,Gdańsk,0.98,6.7,1.28,2.18,2,1,39.4,1,17,18721.00,737621.00
7,Gdańsk,0.98,6.72,1.28,2.18,2,1,44.1,1,17,18831.00,830451.00
8,Gdańsk,0.98,6.74,1.28,2.18,4,2,104.1,2,17,14291.00,1487675.00
9,Gdańsk,0.98,6.76,1.28,2.18,3,2,81,6,17,18199.00,1474124.00
10,Gdańsk,0.98,6.78,1.28,2.18,4,2,105.2,7,17,15052.00,1583467.00
11,Gdańsk,0.98,6.8,1.28,2.18,2,1,40.4,7,17,20888.00,843870.00
12,Gdańsk,0.98,6.82,1.28,2.18,2,1,40.4,10,17,21629.00,873815.00
13,Gdańsk,0.98,6.84,1.28,2.18,3,2,68.5,10,17,19596.00,1342314.00
14,Gdańsk,0.98,6.86,1.28,2.18,3,2,81.3,10,17,19682.00,1600122.00
15,Gdańsk,0.98,6.88,1.28,2.18,4,2,105.5,14,17,19360.00,2042473.00
16,Gdańsk,0.98,6.9,1.28,2.18,2,1,45,14,17,23332.00,1049958.00
17,Gdańsk,0.98,6.92,1.28,2.18,3,2,68.5,14,17,20209.00,1384310.00
18,Gdańsk,0.98,6.94,1.28,2.18,3,2,81.3,14,17,20336.00,1653346.00
19,Gdańsk,0.98,6.96,1.28,2.18,3,1,59.5,1,17,18210.00,1083485.00
20,Gdańsk,0.98,6.98,1.28,2.18,2,1,47.2,1,17,18764.00,885660.00
21,Gdynia,7.4,6.4,6.4,5.1,3,2,80.4,3,3,11247.00,904270.00
22,Gdynia,7.4,6.4,6.4,5.1,4,2,113,3,3,10321.00,1166267.00
23,Gdynia,7.4,6.4,6.4,5.1,4,2,113.3,3,3,9983.00,1131035.00
24,Gdynia,7.4,6.4,6.4,5.1,3,2,76.2,3,3,11424.00,870521.00
25,Gdynia,7.4,6.4,6.4,5.1,4,2,85,3,3,11911.00,1012469.00
