Rating klienta,Stan konta,Okres,Historia,Cel,Kwota,Suma aktywów,Zatrudnienie,Rata,Stan,Płeć,Zamieszkanie,Zabezpieczenie,Wiek,Inne kredyty,Mieszkanie,Liczba kredytów,Stanowisko,Próba
zły,brak,36,bez problemów,rehabilitacja,3003,brak,5 do 8 lat,25-35,MS,m,Do roku,polisa,22,brak,wynajem,2- 4,wykfalifikowany,Test
dobry,debet,48,opóźnienia,rehabilitacja,17085.6,>1400,1 do 5 lat,25-35,MS,m,1-5 lat,polisa,46,inny bank,wynajem,jeden,specjalista/samozatr.,Uczenie
zły,>$300,36,brak,używany samochód,15363.6,brak,bezrobotny,< 15,K,k,1-5 lat,polisa,24,brak,wynajem,2- 4,specjalista/samozatr.,Uczenie
dobry,brak,24,spłacone,nowy samochód,8986.6,brak,Ponad 8,25-35,K,k,>8 lat,nieruchomość,42,brak,własne,2- 4,specjalista/samozatr.,Test
dobry,>$300,24,brak,rehabilitacja,1761.2,brak,5 do 8 lat,< 15,MS,m,Do roku,brak,23,brak,wynajem,jeden,wykfalifikowany,Test
dobry,debet,12,brak,rehabilitacja,1451.8,<140,5 do 8 lat,15- 25,MS,m,>8 lat,brak,37,brak,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
zły,brak,30,brak,używany samochód,4351.2,brak,do roku,25-35,MR,m,>8 lat,samochód,29,brak,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
dobry,debet,15,spłacone,meble,2151.8,>1400,Ponad 8,< 15,MS,m,>8 lat,brak,48,brak,wynajem,2- 4,wykfalifikowany,Test
dobry,>$300,15,spłacone,meble,2059.4,brak,1 do 5 lat,< 15,MS,m,>8 lat,nieruchomość,33,brak,własne,2- 4,wykfalifikowany,Uczenie
zły,debet,27,spłacone,meble,3528,140-700,1 do 5 lat,< 15,MS,m,1-5 lat,samochód,21,brak,wynajem,2- 4,niewykfalifikowany stała praca,Uczenie
zły,debet,24,brak,używany samochód,5679.8,brak,5 do 8 lat,15- 25,MR,m,5-8 lat,polisa,41,brak,wynajem,jeden,wykfalifikowany,Uczenie
zły,brak,18,brak,remont,1050,brak,bezrobotny,< 15,K,k,Do roku,brak,25,brak,wynajem,jeden,niewykfalifikowany bez stałej pracy,Uczenie
zły,debet,36,bez problemów,rehabilitacja,6237,brak,1 do 5 lat,25-35,MR,m,1-5 lat,brak,28,sklep,wynajem,2- 4,specjalista/samozatr.,Uczenie
dobry,>$300,6,bez problemów,rehabilitacja,2440.2,<140,1 do 5 lat,> 35,MS,m,1-5 lat,brak,32,brak,wynajem,2- 4,niewykfalifikowany stała praca,Test
dobry,brak,12,brak,inny,2650.2,brak,1 do 5 lat,< 15,K,k,>8 lat,samochód,27,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,>$300,42,brak,meble,10032.4,>1400,5 do 8 lat,25-35,MŻW,m,>8 lat,samochód,27,brak,inne,jeden,wykfalifikowany,Test
dobry,brak,48,brak,nowy samochód,6703.2,brak,5 do 8 lat,< 15,MS,m,5-8 lat,samochód,24,brak,wynajem,jeden,wykfalifikowany,Uczenie
zły,debet,24,inny bank,remont,2571.8,brak,5 do 8 lat,< 15,K,k,>8 lat,nieruchomość,32,inny bank,własne,jeden,niewykfalifikowany stała praca,Uczenie
dobry,debet,24,spłacone,inny,5429.2,<140,do roku,< 15,MR,m,1-5 lat,polisa,35,brak,wynajem,jeden,wykfalifikowany,Test
dobry,debet,48,brak,business,7533.4,>1400,bezrobotny,15- 25,MS,m,>8 lat,nieruchomość,38,inny bank,własne,jeden,niewykfalifikowany bez stałej pracy,Uczenie
dobry,<= $300,12,brak,meble,4758.6,>1400,Ponad 8,25-35,MS,m,5-8 lat,polisa,35,brak,wynajem,jeden,specjalista/samozatr.,Uczenie
dobry,>$300,24,spłacone,używany samochód,2839.2,brak,5 do 8 lat,25-35,MS,m,1-5 lat,samochód,28,brak,wynajem,2- 4,niewykfalifikowany stała praca,Uczenie
dobry,brak,18,spłacone,inny,7422.8,brak,Ponad 8,25-35,MS,m,>8 lat,nieruchomość,34,brak,własne,5- 6,specjalista/samozatr.,Uczenie
dobry,>$300,12,brak,inny,2637.6,brak,Ponad 8,< 15,MS,m,>8 lat,polisa,37,brak,wynajem,jeden,specjalista/samozatr.,Test
zły,>$300,10,brak,inny,1832.6,>1400,1 do 5 lat,< 15,MS,m,>8 lat,samochód,25,brak,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
dobry,debet,48,bez problemów,business,10614.8,<140,bezrobotny,25-35,MS,m,>8 lat,nieruchomość,29,brak,wynajem,jeden,specjalista/samozatr.,Uczenie
zły,debet,24,bez problemów,używany samochód,2889.6,brak,bezrobotny,15- 25,K,k,1-5 lat,samochód,32,brak,wynajem,jeden,specjalista/samozatr.,Uczenie
dobry,>$300,33,spłacone,nowy samochód,10154.2,brak,5 do 8 lat,15- 25,MS,m,1-5 lat,polisa,33,brak,wynajem,2- 4,specjalista/samozatr.,Test
dobry,debet,12,brak,meble,2193.8,brak,1 do 5 lat,> 35,K,k,Do roku,polisa,20,brak,wynajem,jeden,wykfalifikowany,Test
dobry,debet,12,brak,meble,1617,brak,Ponad 8,15- 25,MŻW,m,5-8 lat,brak,38,inny bank,wynajem,2- 4,niewykfalifikowany stała praca,Test
zły,>$300,36,spłacone,inny,10997,brak,1 do 5 lat,< 15,K,k,1-5 lat,brak,23,sklep,wynajem,2- 4,wykfalifikowany,Uczenie
dobry,brak,12,brak,używany samochód,1804.6,brak,1 do 5 lat,< 15,MS,m,Do roku,samochód,19,brak,wynajem,jeden,niewykfalifikowany stała praca,Test
dobry,brak,6,spłacone,meble,1636.6,>1400,Ponad 8,< 15,MS,m,>8 lat,brak,65,brak,wynajem,2- 4,wykfalifikowany,Uczenie
zły,debet,30,spłacone,inny,5948.6,brak,bezrobotny,< 15,MŻW,m,1-5 lat,polisa,26,brak,wynajem,2- 4,specjalista/samozatr.,Uczenie
