lp,carID,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
1,14070,vw, Amarok,2015,Automatic,39267,Diesel,260,35.3,2,1799
2,14073,vw, Scirocco,2015,Manual,41878,Diesel,20,55.4,2,14321
3,14074,vauxhall, GTC,2017,Automatic,5817,Petrol,200,42.8,1.4,11995
4,14075,ford, Edge,2017,Manual,62124,Diesel,160,48.7,2,157
5,14076,merc, S Class,2019,Semi-Auto,4688,Petrol,150,31.7,4,109995
6,14077,merc, X-CLASS,2019,Automatic,8000,Diesel,260,31.4,3,3399
7,14081,vw, Scirocco,2018,Semi-Auto,23480,Petrol,150,44.1,2,185
8,14082,merc, GLS Class,2020,Semi-Auto,3999,Diesel,145,30.4,3,7698
9,14083,bmw, X4,2014,Semi-Auto,41773,Diesel,145,54.3,2,20572
10,14084,vw, Amarok,2017,Automatic,25624,Diesel,260,36.2,3,25995
11,14085,vauxhall, Combo Life,2018,Manual,10070,Diesel,145,53.3,1.5,15979
12,14086,bmw, M4,2019,Semi-Auto,5644,Petrol,145,34,3,445
13,14087,vauxhall, Combo Life,2019,Manual,1,Diesel,145,53.3,1.5,14634
14,14088,vw, Amarok,2019,Automatic,25221,Diesel,260,33.6,3,27
15,14090,merc, GL Class,2016,Automatic,25285,Diesel,125,56.5,2.1,24495
16,14092,merc, CLS Class,2016,Automatic,26236,Diesel,165,51.4,3,22421
17,14093,bmw, 6 Series,2010,Automatic,92642,Diesel,260,40.9,3,8995
18,14095,hyundi, I40,2016,Manual,50820,Diesel,20,67.3,1.7,8791
19,14096,merc, CLS Class,2013,Automatic,51423,Diesel,145,55,2.1,124
20,14101,vw, Scirocco,2009,Automatic,112000,Petrol,265,37.2,2,5995
21,14103,toyota, Hilux,2020,Automatic,5000,Diesel,260,2.8,2.4,305
22,14104,toyota, Verso,2017,Semi-Auto,13913,Petrol,150,42.8,1.8,14995
23,14106,ford, Mustang,2020,Automatic,3500,Petrol,145,22.1,5,42489
24,14108,vw, Amarok,2019,Manual,800,Diesel,260,32.5,3,28995
