NR_KONTA,SEGMENT,OBSZAR,REJON,CZAS_ZYCIA_KLIENTA,WARTOSC_FV
42455955,SOHO,Poludniowy,Katowice Zachód,274,88.6
42455955,SOHO,Poludniowy,Katowice Zachód,395,88.6
42455955,SOHO,Poludniowy,Katowice Zachód,548,88.6
42504725,Os. Prywatna,Centralno-Wschodni,Warszawa,278,128
10312781,Os. Prywatna,Centralno-Wschodni,Lublin,2764,122.22
10101078,Os. Prywatna,Poludniowy,Katowice Wschód,2974,110.82
10101078,Os. Prywatna,Poludniowy,Katowice Wschód,3495,69.86
42502374,SOHO,Centralno-Wschodni,Warszawa,343,308.8
42282978,SOHO,Centralno-Wschodni,Warszawa,609,621.46
42461902,Os. Prywatna,Poludniowy,Katowice Zachód,609,248
20386886,SOHO,Centralno-Wschodni,Lublin,2375,117.8
42758520,Os. Prywatna,Centralno-Wschodni,Warszawa,211,138
42470950,Os. Prywatna,Poludniowy,Opole,613,110
10038669,Os. Prywatna,Poludniowy,Katowice Wschód,3250,151.02
10041159,Os. Prywatna,Poludniowy,Katowice Wschód,2732,164.8
42284143,SOHO,Zachodni,Poznan,944,170.34
42504725,Os. Prywatna,Centralno-Wschodni,Warszawa,124,128
42504725,Os. Prywatna,Centralno-Wschodni,Warszawa,215,128
42499932,Os. Prywatna,Centralno-Wschodni,Rejon Nieokreslony,580,88.6
10037862,Os. Prywatna,Poludniowy,Katowice Wschód,3523,83
10042278,Os. Prywatna,Poludniowy,Katowice Wschód,3523,181.68
10043523,Os. Prywatna,Poludniowy,Katowice Wschód,3523,183.36
10104776,Os. Prywatna,Poludniowy,Katowice Zachód,3523,68.32
10074170,Os. Prywatna,Poludniowy,Katowice Zachód,3523,95.98
10050847,Os. Prywatna,Poludniowy,Katowice Wschód,3523,63.86
10067774,Os. Prywatna,Poludniowy,Katowice Zachód,3523,305.96
10038913,Os. Prywatna,Poludniowy,Katowice Wschód,3523,137
42367240,SOHO,Centralno-Wschodni,Lublin,183,936.74
10501356,Os. Prywatna,Poludniowy,Katowice Wschód,3443,207.74
10037612,Os. Prywatna,Poludniowy,Katowice Wschód,3523,53.68
10056338,Os. Prywatna,Poludniowy,Katowice Wschód,3523,102.48
10300757,SOHO,Poludniowy,Katowice Zachód,3474,208.52
42504725,Os. Prywatna,Centralno-Wschodni,Warszawa,245,128
42614845,Os. Prywatna,Poludniowy,Katowice Zachód,546,98
10095061,Os. Prywatna,Poludniowy,Katowice Zachód,3523,94.38
42149566,Business1,Pólnocny,Torun,90,898.8
10083128,Os. Prywatna,Poludniowy,Katowice Zachód,3523,67.32
20032535,Os. Prywatna,Poludniowy,Katowice Zachód,3382,84.18
10064194,Os. Prywatna,Poludniowy,Katowice Wschód,3523,72.12
42613794,Os. Prywatna,Pólnocny,Gdansk,364,96.8
10050953,Os. Prywatna,Poludniowy,Katowice Wschód,3523,189.86
10084171,Os. Prywatna,Poludniowy,Katowice Zachód,3523,94.34
20033148,Os. Prywatna,Poludniowy,Katowice Zachód,3382,136.16
10041907,Os. Prywatna,Poludniowy,Katowice Wschód,3523,190.72
10078936,Os. Prywatna,Poludniowy,Katowice Wschód,3523,47.94
10068172,Os. Prywatna,Poludniowy,Katowice Zachód,3523,91.74
10087869,Os. Prywatna,Poludniowy,Katowice Zachód,3523,184.46
10077010,Os. Prywatna,Poludniowy,Katowice Zachód,3523,100.28
10036056,Os. Prywatna,Poludniowy,Katowice Wschód,3523,97.16
10094333,Os. Prywatna,Poludniowy,Katowice Zachód,3523,121.52
10056333,Os. Prywatna,Poludniowy,Katowice Wschód,3523,186.9
10076069,Os. Prywatna,Poludniowy,Katowice Zachód,3523,105.4
10044852,Os. Prywatna,Poludniowy,Katowice Wschód,3523,109.68
10043815,Os. Prywatna,Poludniowy,Katowice Wschód,3523,64.22
10045340,Os. Prywatna,Poludniowy,Katowice Wschód,3523,229.82
10058039,Os. Prywatna,Poludniowy,Katowice Wschód,3523,121.52
10501621,Os. Prywatna,Poludniowy,Katowice Zachód,3443,148.16
10039082,Os. Prywatna,Poludniowy,Katowice Wschód,3523,125.18
10064559,Os. Prywatna,Poludniowy,Katowice Wschód,3523,133.5
10071641,Os. Prywatna,Poludniowy,Katowice Zachód,3523,120.56
42758520,Os. Prywatna,Centralno-Wschodni,Warszawa,244,138
42470950,Os. Prywatna,Poludniowy,Opole,585,110
20071896,Os. Prywatna,Poludniowy,Katowice Wschód,2710,176.72
10086973,Os. Prywatna,Poludniowy,Katowice Wschód,3523,57.34
10074179,Os. Prywatna,Poludniowy,Katowice Zachód,3523,63.42
10066425,Os. Prywatna,Poludniowy,Katowice Wschód,3523,112.24
10069336,Os. Prywatna,Poludniowy,Katowice Wschód,3523,103.22
10300899,Os. Prywatna,Poludniowy,Katowice Wschód,3474,84.5
10035687,Os. Prywatna,Poludniowy,Katowice Wschód,3523,191.42
42627099,Os. Prywatna,Poludniowy,Katowice Zachód,61,98
10050991,Os. Prywatna,Poludniowy,Katowice Wschód,3523,135.84
10039612,Os. Prywatna,Poludniowy,Katowice Wschód,3523,151.52
10501616,Os. Prywatna,Poludniowy,Katowice Zachód,3443,292.82
10301024,Os. Prywatna,Poludniowy,Katowice Zachód,3474,42.7
10059787,Os. Prywatna,Poludniowy,Katowice Wschód,3523,172.48
42434955,Os. Prywatna,Poludniowy,Opole,454,260.64
42504725,Os. Prywatna,Centralno-Wschodni,Warszawa,184,128
10312781,Os. Prywatna,Centralno-Wschodni,Lublin,3315,80.52
42549464,Os. Prywatna,Poludniowy,Katowice Zachód,489,50
42248729,SOHO,Centralno-Wschodni,Warszawa,1217,392.36
43046778,Os. Prywatna,Pólnocny,Torun,182,119.6
43050353,Os. Prywatna,Pólnocny,Torun,57,118
42615190,Os. Prywatna,Centralno-Wschodni,Warszawa,153,98
42491805,Os. Prywatna,Poludniowy,Opole,160,128
42818556,Os. Prywatna,Pólnocny,Bydgoszcz,32,38
42175523,SOHO,Pólnocny,Bydgoszcz,61,591.72
20435484,Os. Prywatna,Poludniowy,Katowice Zachód,2288,145.4
42470950,Os. Prywatna,Poludniowy,Opole,403,110
42470950,Os. Prywatna,Poludniowy,Opole,523,110
42470950,Os. Prywatna,Poludniowy,Opole,555,110
20071896,Os. Prywatna,Poludniowy,Katowice Wschód,2619,136.72
42997057,Os. Prywatna,Poludniowy,Opole,91,138
26203370,Os. Prywatna,Pólnocny,Bydgoszcz,2152,276.34
26203370,Os. Prywatna,Pólnocny,Bydgoszcz,2181,259.96
26203370,Os. Prywatna,Pólnocny,Bydgoszcz,2425,242.66
26203370,Os. Prywatna,Pólnocny,Bydgoszcz,2517,242.66
42175523,SOHO,Pólnocny,Bydgoszcz,90,767.94
42627099,Os. Prywatna,Poludniowy,Katowice Zachód,0,126.36
20447253,Os. Prywatna,Poludniowy,Opole,795,134.74
20447253,Os. Prywatna,Poludniowy,Opole,855,98.92
20447253,Os. Prywatna,Poludniowy,Opole,1162,167.54
10037862,Os. Prywatna,Poludniowy,Katowice Wschód,1668,153.3
42956461,Os. Prywatna,Centralno-Wschodni,Lublin,305,170
42793147,Os. Prywatna,Centralno-Wschodni,Lublin,425,98
10339132,Os. Prywatna,Centralno-Wschodni,Lublin,1572,63.04
42367240,SOHO,Centralno-Wschodni,Lublin,398,2025.84
42367240,SOHO,Centralno-Wschodni,Lublin,700,1170.32
42202355,Os. Prywatna,Poludniowy,Katowice Wschód,824,111.06
42202355,Os. Prywatna,Poludniowy,Katowice Wschód,1189,50.54
42202355,Os. Prywatna,Poludniowy,Katowice Wschód,1342,93.24
10317852,Os. Prywatna,Centralno-Wschodni,Lublin,3042,66.92
42478025,Os. Prywatna,Pólnocny,Gdansk,278,128
42489357,Business2,Poludniowy,Opole,67,128
42170951,Os. Prywatna,Pólnocny,Torun,885,161.74
43041412,Os. Prywatna,Centralno-Wschodni,Warszawa,215,118
43033741,Os. Prywatna,Centralno-Wschodni,Lublin,57,118
42773015,SOHO,Centralno-Wschodni,Lublin,151,318.86
42888876,SOHO,Poludniowy,Opole,276,375.52
42614845,Os. Prywatna,Poludniowy,Katowice Zachód,426,98
42614845,Os. Prywatna,Poludniowy,Katowice Zachód,488,98
42107247,Os. Prywatna,Centralno-Wschodni,Lublin,186,64.08
42107247,Os. Prywatna,Centralno-Wschodni,Lublin,277,49.28
42750140,Os. Prywatna,Zachodni,Poznan,362,418.34
42549464,Os. Prywatna,Poludniowy,Katowice Zachód,457,50
42946203,Os. Prywatna,Zachodni,Poznan,185,247.52
10200154,SOHO,Pólnocny,Gdansk,1378,281.62
42613794,Os. Prywatna,Pólnocny,Gdansk,488,98
10441958,Os. Prywatna,Zachodni,Pila,3313,140.7
43136119,SOHO,Poludniowy,Katowice Wschód,32,242.8
10084171,Os. Prywatna,Poludniowy,Katowice Zachód,1668,149.84
43046778,Os. Prywatna,Pólnocny,Torun,152,86.88
42414856,Business4,Zachodni,Poznan,487,19137.1
10032564,Os. Prywatna,Poludniowy,Opole,1815,133.96
10032564,Os. Prywatna,Poludniowy,Opole,1906,166.24
42701628,Os. Prywatna,Poludniowy,Katowice Wschód,488,98
20411754,Os. Prywatna,Zachodni,Poznan,706,380.74
10087869,Os. Prywatna,Poludniowy,Katowice Zachód,1849,123.7
42787508,Os. Prywatna,Poludniowy,Katowice Wschód,455,118
42084152,SOHO,Poludniowy,Opole,214,255
42175523,SOHO,Pólnocny,Bydgoszcz,181,3225.1
42175523,SOHO,Pólnocny,Bydgoszcz,1458,437.54
10501621,Os. Prywatna,Poludniowy,Katowice Zachód,3107,176.56
10104294,Os. Prywatna,Poludniowy,Katowice Wschód,1787,109.22
42758520,Os. Prywatna,Centralno-Wschodni,Warszawa,181,138
42470950,Os. Prywatna,Poludniowy,Opole,312,110
42470950,Os. Prywatna,Poludniowy,Opole,493,110
43153958,Os. Prywatna,Poludniowy,Kraków,32,118.02
20329363,Business4,Centralno-Wschodni,Warszawa,2101,1992.02
10077845,Business2,Poludniowy,Katowice Wschód,1815,9662.72
10077845,Business2,Poludniowy,Katowice Wschód,2942,4345.86
42116695,SOHO,Poludniowy,Katowice Wschód,1068,48.8
42330557,Os. Prywatna,Zachodni,Poznan,911,205.32
10066425,Os. Prywatna,Poludniowy,Katowice Wschód,3096,98.48
26203370,Os. Prywatna,Pólnocny,Bydgoszcz,997,329.08
26203370,Os. Prywatna,Pólnocny,Bydgoszcz,2061,263.4
26203370,Os. Prywatna,Pólnocny,Bydgoszcz,2092,283.9
26203370,Os. Prywatna,Pólnocny,Bydgoszcz,2120,306.62
26203370,Os. Prywatna,Pólnocny,Bydgoszcz,2211,286.02
26203370,Os. Prywatna,Pólnocny,Bydgoszcz,2394,269.8
26203370,Os. Prywatna,Pólnocny,Bydgoszcz,2488,245.34
42627099,Os. Prywatna,Poludniowy,Katowice Zachód,30,98
20447253,Os. Prywatna,Poludniowy,Opole,1859,105.78
42367240,SOHO,Centralno-Wschodni,Lublin,670,1512.34
10312781,Os. Prywatna,Centralno-Wschodni,Lublin,3377,81.98
42124101,SOHO,Poludniowy,Opole,699,147.98
42622669,Os. Prywatna,Poludniowy,Kraków,335,118
20447253,Os. Prywatna,Poludniowy,Opole,306,130.64
20447253,Os. Prywatna,Poludniowy,Opole,458,116.32
20447253,Os. Prywatna,Poludniowy,Opole,948,142.5
20447253,Os. Prywatna,Poludniowy,Opole,1008,125.46
20447253,Os. Prywatna,Poludniowy,Opole,1435,120.48
20047135,Os. Prywatna,Poludniowy,Katowice Wschód,2986,228.26
42793147,Os. Prywatna,Centralno-Wschodni,Lublin,367,98
42648242,Os. Prywatna,Centralno-Wschodni,Lublin,459,98
42559085,SOHO,Zachodni,Pila,0,567.18
10074170,Os. Prywatna,Poludniowy,Katowice Zachód,2003,96.42
42762380,Os. Prywatna,Pólnocny,Gdansk,397,98
42202355,Os. Prywatna,Poludniowy,Katowice Wschód,276,424.66
42202355,Os. Prywatna,Poludniowy,Katowice Wschód,976,59.54
42202355,Os. Prywatna,Poludniowy,Katowice Wschód,1430,63.66
10317852,Os. Prywatna,Centralno-Wschodni,Lublin,3191,57.16
42478025,Os. Prywatna,Pólnocny,Gdansk,612,243.76
42489357,Business2,Poludniowy,Opole,35,128
42991456,Os. Prywatna,Zachodni,Kalisz,61,153.38
42991456,Os. Prywatna,Zachodni,Kalisz,246,205.94
20178637,Os. Prywatna,Poludniowy,Katowice Wschód,1709,125.9
20178637,Os. Prywatna,Poludniowy,Katowice Wschód,2682,123.7
10327667,Os. Prywatna,Centralno-Wschodni,Lublin,3244,162.38
42702519,Os. Prywatna,Poludniowy,Katowice Wschód,459,98
42911276,Os. Prywatna,Zachodni,Pila,150,270.5
10009863,Os. Prywatna,Centralno-Wschodni,Warszawa,1424,645.56
10312781,Os. Prywatna,Centralno-Wschodni,Lublin,3009,89.3
10101078,Os. Prywatna,Poludniowy,Katowice Wschód,2882,122.68
42773015,SOHO,Centralno-Wschodni,Lublin,367,329.2
10172917,Os. Prywatna,Pólnocny,Torun,2409,124.32
10172917,Os. Prywatna,Pólnocny,Torun,2927,64.74
42528395,Os. Prywatna,Centralno-Wschodni,Warszawa,620,199.22
42740370,SOHO,Zachodni,Poznan,303,98
43092627,Os. Prywatna,Pólnocny,Gdansk,123,128.56
42652801,Os. Prywatna,Zachodni,Kalisz,428,118
42615190,Os. Prywatna,Centralno-Wschodni,Warszawa,212,98
