lp,tittle,rodzaj,rooms,price [euro],metraż,cena za metr kw [euro],cena za metr kw [zł],bathrooms,garage,terrace,zipcode,rok budowy,ilosc hoteli w poblizu jako wskaznik atrakcyjnosci miejsca
1,"Piso en Adriano, Arenal - Museo, Sevilla",mieszkanie,5 hab.,850000,252,3373,15516,3,0,1,41001,1975,48
2,"Piso en aguila perdicera, 11, Su Eminencia - La Oliva, Sevilla",mieszkanie,3 hab.,133500,97,1376,6331,2,0,1,41006,2019,1
3,"Piso en Aguila Perdicera, 9, Su Eminencia - La Oliva, Sevilla",mieszkanie,3 hab.,145000,97,1495,6876,2,0,1,41006,2020,1
4,"Piso en alameda de Hércules, Alameda, Sevilla",mieszkanie,2 hab.,310000,85,3647,16776,2,0,0,41002,2010,17
5,"Piso en alameda, s/n, Alameda, Sevilla",mieszkanie,2 hab.,360000,90,4000,18400,2,0,0,41002,2008,17
6,"Piso en Alameda, Sevilla",mieszkanie,2 hab.,280000,77,3636,16727,1,0,0,41002,0,17
7,"Piso en Alameda, Sevilla",mieszkanie,1 hab.,270000,78,3462,15923,2,0,0,41002,1981,17
8,"Piso en Alameda, Sevilla",mieszkanie,2 hab.,275000,80,3438,15813,2,0,0,41002,1981,17
9,"Piso en Alameda, Sevilla",mieszkanie,1 hab.,250000,75,3333,15333,1,0,0,41002,2005,17
10,"Piso en Alameda, Sevilla",mieszkanie,3 hab.,240000,90,2667,12267,1,0,0,41002,0,17
11,"Piso en Alameda, Sevilla",mieszkanie,2 hab.,214500,87,2466,11341,1,0,0,41002,1920,17
12,"Piso en Alameda, Sevilla",mieszkanie,3 hab.,400000,170,2353,10824,2,1,0,41002,2010,17
13,"Piso en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla",mieszkanie,2 hab.,180000,70,2571,11829,1,0,0,41020,0,6
14,"Piso en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla",mieszkanie,1 hab.,198500,80,2481,11414,1,1,1,41020,1991,6
15,"Piso en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla",mieszkanie,3 hab.,199900,104,1922,8842,2,0,0,41020,1993,6
16,"Piso en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla",mieszkanie,4 hab.,205000,108,1898,8731,2,0,1,41020,1996,6
17,"Piso en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla",mieszkanie,4 hab.,239000,128,1867,8589,2,1,1,41020,1989,6
18,"Piso en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla",mieszkanie,4 hab.,233000,127,1835,8439,2,0,1,41020,1989,6
19,"Piso en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla",mieszkanie,2 hab.,165000,90,1833,8433,1,1,1,41020,2006,6
20,"Piso en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla",mieszkanie,2 hab.,145990,80,1825,8394,1,1,1,41020,1996,6
21,"Piso en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla",mieszkanie,4 hab.,220000,121,1818,8364,2,1,1,41020,1991,6
22,"Piso en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla",mieszkanie,1 hab.,88500,50,1770,8142,1,1,0,41020,2008,6
23,"Piso en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla",mieszkanie,3 hab.,164000,93,1763,8112,2,1,0,41020,2005,6
24,"Piso en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla",mieszkanie,1 hab.,92260,57,1619,7446,1,1,0,41020,2006,6
25,"Piso en Almaden de la Plata, Cruz Roja - Capuchinos, Sevilla",mieszkanie,3 hab.,249000,119,2092,9625,2,1,0,41009,2002,2
26,"Piso en Alonso Cano, Gran Plaza - Marqués de Pickman - Ciudad Jardín, Sevilla",mieszkanie,4 hab.,169000,115,1470,6760,2,0,1,41005,0,2
27,"Piso en Alvarez Quintero, Santa Cruz - Alfalfa, Sevilla",mieszkanie,3 hab.,975000,190,5132,23605,3,0,0,41004,2017,53
28,"Piso en Arenal - Museo, Sevilla",mieszkanie,3 hab.,670000,131,5115,23527,3,1,0,41001,1987,48
29,"Piso en Arenal - Museo, Sevilla",mieszkanie,3 hab.,670000,133,5038,23173,3,1,0,41001,0,48
30,"Piso en Arenal - Museo, Sevilla",mieszkanie,3 hab.,670000,133,5038,23173,3,1,0,41001,0,48
31,"Piso en Arenal - Museo, Sevilla",mieszkanie,4 hab.,850000,170,5000,23000,3,0,1,41001,0,48
32,"Piso en Arenal - Museo, Sevilla",mieszkanie,2 hab.,995000,201,4950,22771,3,1,1,41001,1972,48
33,"Piso en Arenal - Museo, Sevilla",mieszkanie,2 hab.,995000,201,4950,22771,3,1,1,41001,0,48
34,"Piso en Arenal - Museo, Sevilla",mieszkanie,3 hab.,480000,115,4174,19200,2,1,0,41001,0,48
35,"Piso en Arenal - Museo, Sevilla",mieszkanie,2 hab.,450000,108,4167,19167,1,0,0,41001,0,48
36,"Piso en Arenal - Museo, Sevilla",mieszkanie,8 hab.,850000,220,3864,17773,2,0,0,41001,1955,48
37,"Piso en Arenal - Museo, Sevilla",mieszkanie,8 hab.,850000,220,3864,17773,2,0,1,41001,0,48
38,"Piso en Arenal - Museo, Sevilla",mieszkanie,1 hab.,250000,65,3846,17692,1,0,0,41001,0,48
39,"Piso en Arenal - Museo, Sevilla",mieszkanie,1 hab.,250000,67,3731,17164,1,0,0,41001,1980,48
40,"Piso en Arenal - Museo, Sevilla",mieszkanie,1 hab.,260000,70,3714,17086,1,0,0,41001,1980,48
41,"Piso en Arenal - Museo, Sevilla",mieszkanie,5 hab.,1000000,272,3676,16912,3,1,1,41001,1980,48
42,"Piso en Arenal - Museo, Sevilla",mieszkanie,5 hab.,750000,204,3676,16912,3,0,1,41001,1980,48
43,"Piso en Arenal - Museo, Sevilla",mieszkanie,4 hab.,864000,240,3600,16560,3,0,1,41001,1965,48
44,"Piso en Arenal - Museo, Sevilla",mieszkanie,3 hab.,450000,125,3600,16560,2,0,0,41001,0,48
45,"Piso en Arenal - Museo, Sevilla",mieszkanie,3 hab.,500000,150,3333,15333,2,0,0,41001,2012,48
46,"Piso en Arenal - Museo, Sevilla",mieszkanie,4 hab.,420000,127,3307,15213,2,1,1,41001,1985,48
47,"Piso en Arenal - Museo, Sevilla",mieszkanie,5 hab.,629000,210,2995,13778,3,1,1,41001,1980,48
48,"Piso en Arenal - Museo, Sevilla",mieszkanie,4 hab.,335000,127,2638,12134,2,0,1,41001,1988,48
49,"Piso en Arenal - Museo, Sevilla",mieszkanie,4 hab.,335000,127,2638,12134,2,0,1,41001,1988,48
50,"Piso en Arenal - Museo, Sevilla",mieszkanie,5 hab.,750000,286,2622,12063,3,1,1,41001,1979,48
51,"Piso en Arenal - Museo, Sevilla",mieszkanie,4 hab.,850000,325,2615,12031,4,0,0,41001,1968,48
52,"Piso en Arenal - Museo, Sevilla",mieszkanie,1 hab.,235000,90,2611,12011,1,1,0,41001,0,48
53,"Piso en Arenal - Museo, Sevilla",mieszkanie,6 hab.,900000,364,2473,11374,4,1,1,41001,0,48
54,"Piso en Arenal - Museo, Sevilla",mieszkanie,3 hab.,295000,127,2323,10685,1,0,1,41001,1986,48
55,"Piso en Arenal - Museo, Sevilla",mieszkanie,7 hab.,620000,280,2214,10186,4,0,0,41001,0,48
56,"Piso en Ares, Jardines de Hércules, Sevilla",mieszkanie,2 hab.,175000,90,1944,8944,1,1,1,41014,2007,3
57,"Piso en Arroyo - Santa Justa, Sevilla",mieszkanie,3 hab.,299900,80,3749,17244,2,0,0,41007,1997,3
58,"Piso en Arroyo - Santa Justa, Sevilla",mieszkanie,2 hab.,290000,88,3295,15159,2,0,0,41007,2005,3
59,"Piso en Arroyo - Santa Justa, Sevilla",mieszkanie,1 hab.,163000,53,3075,14147,1,0,0,41007,2013,3
60,"Piso en Arroyo - Santa Justa, Sevilla",mieszkanie,3 hab.,309000,102,3029,13935,2,0,0,41007,1997,3
61,"Piso en Arroyo - Santa Justa, Sevilla",mieszkanie,4 hab.,360000,121,2975,13686,2,0,0,41007,1980,3
62,"Piso en Arroyo - Santa Justa, Sevilla",mieszkanie,3 hab.,299900,102,2940,13525,2,0,1,41007,1997,3
63,"Piso en Arroyo - Santa Justa, Sevilla",mieszkanie,3 hab.,298500,102,2926,13462,2,0,0,41007,0,3
