,bezrobotne kobiety,bezrobotni mężczyźni
okres 1,1537548,1298060
okres 2,1548124,1328818
okres 3,1553330,1345405
okres 4,1544896,1333136
okres 5,1527801,1313256
okres 6,1541553,1307647
okres 7,1560457,1311092
okres 8,1577235,1315398
okres 9,1589713,1330698
okres 10,1597086,1347204
okres 11,1617670,1404916
okres 12,1642109,1472947
okres 13,1684689,1568597
okres 14,1687748,1590147
okres 15,1675697,1584212
okres 16,1653671,1549884
okres 17,1567078,1497530
okres 18,1599482,1491368
okres 19,1621338,1483984
okres 20,1627262,1478304
okres 21,1626845,1485747
okres 22,1624081,1484060
okres 23,1631765,1519007
okres 24,1645750,1571208
okres 25,1677114,1643512
okres 26,1680118,1664040
okres 27,1666050,1654970
okres 28,1641622,1604470
okres 29,1615622,1543972
okres 30,1620399,1514200
okres 31,1629739,1493222
okres 32,1626831,1472220
okres 33,1612819,1460513
okres 34,1603968,1454242
okres 35,1612601,1484250
okres 36,1634689,1540985
