dyrekcja,miesiac,rok,Eurosuper 95,ON,dyrekcja,miesiac,rok,Eurosuper 95,ON
Gdańsk,1,1997,2147,1881,Poznań,1,1997,2447,5815
Gdańsk,2,1997,2048,1964,Poznań,2,1997,2191,5503
Gdańsk,3,1997,2303,2253,Poznań,3,1997,3140,6846
Gdańsk,4,1997,2651,2537,Poznań,4,1997,3052,7832
Gdańsk,5,1997,2826,2461,Poznań,5,1997,3365,6912
Gdańsk,6,1997,2844,2579,Poznań,6,1997,3109,7176
Gdańsk,7,1997,3670,2897,Poznań,7,1997,3099,7301
Gdańsk,8,1997,3731,2950,Poznań,8,1997,3017,8598
Gdańsk,9,1997,2760,2810,Poznań,9,1997,2779,8646
Gdańsk,10,1997,2726,2676,Poznań,10,1997,3346,8449
Gdańsk,11,1997,2416,2257,Poznań,11,1997,2870,6881
Gdańsk,12,1997,2685,2224,Poznań,12,1997,3480,6339
Gdańsk,1,1998,2273,1951,Poznań,1,1998,2488,5489
Gdańsk,2,1998,2214,1874,Poznań,2,1998,2450,4989
Gdańsk,3,1998,2524,2117,Poznań,3,1998,3413,6421
Gdańsk,4,1998,2373,2056,Poznań,4,1998,3478,6618
Gdańsk,5,1998,2495,2015,Poznań,5,1998,3711,6190
Gdańsk,6,1998,2747,2101,Poznań,6,1998,3395,5918
Gdańsk,7,1998,3477,2301,Poznań,7,1998,3196,6176
Gdańsk,8,1998,3437,2396,Poznań,8,1998,3115,6466
Gdańsk,9,1998,2562,2411,Poznań,9,1998,2992,6501
Gdańsk,10,1998,2726,2346,Poznań,10,1998,3409,6487
Gdańsk,11,1998,2348,1964,Poznań,11,1998,2561,5570
Gdańsk,12,1998,2363,1709,Poznań,12,1998,2526,4651
Gdańsk,1,1999,2153,1629,Poznań,1,1999,2018,4247
Gdańsk,2,1999,2009,1579,Poznań,2,1999,1867,4100
Gdańsk,3,1999,2530,2057,Poznań,3,1999,3210,6021
Gdańsk,4,1999,2668,1978,Poznań,4,1999,3119,5589
Gdańsk,5,1999,2797,1877,Poznań,5,1999,3287,5320
Gdańsk,6,1999,2861,1878,Poznań,6,1999,3240,5310
Gdańsk,7,1999,3874,2295,Poznań,7,1999,3694,6056
Gdańsk,8,1999,3525,2224,Poznań,8,1999,3016,5503
Gdańsk,9,1999,2768,2069,Poznań,9,1999,3104,5507
Gdańsk,10,1999,2918,2080,Poznań,10,1999,3644,5841
Gdańsk,11,1999,2481,1792,Poznań,11,1999,2674,5154
Gdańsk,12,1999,2576,1666,Poznań,12,1999,3008,4532
