,PRACA,TRANSPORT,PRACE DOMOWE,DZIECI,ZAKUPY,HIGIENA OSOBISTA,POSIŁKI,SEN,TV,WYPOCZYNEK,PŁEĆ,REGION
EMU ,610,140,60,10,120,95,115,760,175,315,MĘŻCZYZNA,ZACHÓD
EWU ,475,90,250,30,140,120,100,775,115,305,KOBIETA,ZACHÓD
UWU ,10,,495,110,170,110,130,785,160,430,KOBIETA,ZACHÓD
MMU ,615,141,65,10,115,90,115,765,180,305,MĘŻCZYZNA,ZACHÓD
MWU,179,29,421,87,161,112,119,776,143,373,KOBIETA,ZACHÓD
SMU ,585,115,50,,150,105,100,760,150,385,MĘŻCZYZNA,ZACHÓD
SWU ,482,94,196,18,141,130,96,775,132,336,KOBIETA,ZACHÓD
EMW ,652,100,95,7,57,85,150,807,115,330,MĘŻCZYZNA,ZACHÓD
EWW ,510,70,307,30,80,95,142,815,87,262,KOBIETA,ZACHÓD
UWW ,20,7,567,87,112,90,180,842,125,367,KOBIETA,ZACHÓD
MMW ,655,97,97,10,52,85,152,807,122,320,MĘŻCZYZNA,ZACHÓD
MWW ,168,22,529,69,102,83,174,825,119,392,KOBIETA,ZACHÓD
SMW ,642,105,72,,62,77,140,812,100,387,MĘŻCZYZNA,ZACHÓD
SWW ,389,34,262,14,92,97,147,848,84,392,KOBIETA,ZACHÓD
EME ,650,142,122,22,76,94,100,764,96,334,MĘŻCZYZNA,WSCHÓD
EWE ,578,106,338,42,106,94,92,752,64,228,KOBIETA,WSCHÓD
UWE,24,8,594,72,158,82,128,840,86,398,KOBIETA,WSCHÓD
MME ,652,133,134,22,68,54,102,762,122,310,MĘŻCZYZNA,WSCHÓD
MWE ,434,77,431,60,117,88,105,770,73,229,KOBIETA,WSCHÓD
SME ,627,148,68,,88,92,86,770,58,463,MĘŻCZYZNA,WSCHÓD
SWE ,433,88,296,21,128,102,94,798,58,379,KOBIETA,WSCHÓD
EMY ,650,140,120,15,85,90,105,760,70,365,MĘŻCZYZNA,WSCHÓD
EWY ,560,105,375,45,90,90,95,745,60,235,KOBIETA,WSCHÓD
UWY ,10,10,710,55,145,85,130,815,60,380,KOBIETA,WSCHÓD
MMY ,650,145,112,15,85,90,105,760,80,357,MĘŻCZYZNA,WSCHÓD
MWY ,260,52,576,59,116,85,117,775,65,295,KOBIETA,WSCHÓD
SMY ,615,125,95,,115,90,85,760,40,475,MĘŻCZYZNA,WSCHÓD
SWY ,433,89,318,23,112,96,102,774,45,409,KOBIETA,WSCHÓD
